source,source_domain,url,bias_score,factual_reporting_score
972 Magazine,972mag.com,https://mediabiasfactcheck.com/972-magazine/,-15,2
(The) Atlantic,theatlantic.com,https://mediabiasfactcheck.com/the-atlantic/,-10,2
(The) Interpreter Magazine,interpretermag.com,https://mediabiasfactcheck.com/the-interpreter-magazine/,-6,2
100% Fed up,100percentfedup.com,https://mediabiasfactcheck.com/100-percent-fed-up/,30,-1
10News.one,10news.one,https://mediabiasfactcheck.com/10news-one/,32,-1
21st Century Wire,21stcenturywire.com,https://mediabiasfactcheck.com/21st-century-wire/,24,0
24 News,us24news.com,https://mediabiasfactcheck.com/24-news/,29,-1
247 News Media,247newsmedia.com,https://mediabiasfactcheck.com/247-news-media/,32,-2
2ndVote,2ndvote.com,https://mediabiasfactcheck.com/2ndvote/,26,0
38 North,38north.org,https://mediabiasfactcheck.com/38-north/,1,2
680 News,680news.com,https://mediabiasfactcheck.com/680-news/,-2,2
70 news,70news.wordpress.com,https://mediabiasfactcheck.com/70-news/,31,-2
71 Republic,71republic.com,https://mediabiasfactcheck.com/71-republic/,14,2
9 News (Australia),9news.com.au,https://mediabiasfactcheck.com/9-news-australia/,4.5,2
911Truth.org,911truth.org,https://mediabiasfactcheck.com/911truth-org/,24,-1
A Sheep No More,asheepnomore.net,https://mediabiasfactcheck.com/a-sheep-no-more/,4.3,-1
A Voice for Men,avoiceformen.com,https://mediabiasfactcheck.com/a-voice-for-men/,20,-1
ABC,abcnews.go.com,https://mediabiasfactcheck.com/abc-news/,-10,2
ABC News Australia,abc.net.au,https://mediabiasfactcheck.com/abc-news-australia/,-7,2
ABC11 Eyewitness News,abc11.com,https://mediabiasfactcheck.com/abc11-eyewitness-news/,-9,2
Abort73,abort73.com,https://mediabiasfactcheck.com/abort73/,27,0
Above the Law,abovethelaw.com,https://mediabiasfactcheck.com/above-the-law/,-7,2
Above Top Secret,abovetopsecret.com,https://mediabiasfactcheck.com/above-top-secret/,24,-1
ABS-CBN,news.abs-cbn.com,https://mediabiasfactcheck.com/abs-cbn-news/,-4,2
Acculturated,acculturated.com,https://mediabiasfactcheck.com/acculturated/,22,1
Accuracy in Academia (AIA),academia.org,https://mediabiasfactcheck.com/accuracy-in-academia-aia/,25,0
Accuracy in Media,aim.org,https://mediabiasfactcheck.com/accuracy-in-media-aim/,27,0
ACLU,aclu.org,https://mediabiasfactcheck.com/american-civil-liberties-union-aclu/,-8,0
Act.TV,act.tv,https://mediabiasfactcheck.com/act-tv/,-24,1
Acting Man,acting-man.com,https://mediabiasfactcheck.com/acting-man/,22,0
Activist Mommy,elizabethjohnston.org,https://mediabiasfactcheck.com/activist-mommy/,32,-1
Activist Post,activistpost.com,https://mediabiasfactcheck.com/activist-post/,-22,-1
Addicting Info,addictinginfo.com,https://mediabiasfactcheck.com/addicting-info/,-26,0
Advocate,advocate.com,https://mediabiasfactcheck.com/advocate/,-20,2
Adweek,adweek.com,https://mediabiasfactcheck.com/adweek/,-1,2
Aeon,aeon.co,https://mediabiasfactcheck.com/aeon/,-8,2
Affinity Magazine,affinitymagazine.us,https://mediabiasfactcheck.com/affinity-magazine/,-13,0
Africa News,africanews.com,https://mediabiasfactcheck.com/africa-news/,-13,1
African Arguments,africanarguments.org,https://mediabiasfactcheck.com/african-arguments/,-10,2
Aftonbladet,aftonbladet.se,https://mediabiasfactcheck.com/aftonbladet/,-19,0
Against Crony Capitalism,ac2news.com,https://mediabiasfactcheck.com/against-crony-capitialism/,23,1
Age of Autism,ageofautism.com,https://mediabiasfactcheck.com/age-of-autism/,24,-1
Age of Shitlords,ageofshitlords.com,https://mediabiasfactcheck.com/age-of-shitlords/,27,-1
Agence France-Presse (AFP),afp.com,https://mediabiasfactcheck.com/afp-agence-france-presse/,-4,2
Agenzia Nazionale Stampa Associata (ANSA),ansa.it,https://mediabiasfactcheck.com/agenzia-nazionale-stampa-associata-ansa/,-1,2
Agerpres,agerpres.ro,https://mediabiasfactcheck.com/agerpres/,0,2
Ahram Online,english.ahram.org.eg,https://mediabiasfactcheck.com/ahram-online/,10,0
Air and Space Mag,airspacemag.com,https://mediabiasfactcheck.com/air-space-magazine/,0,3
Air Force Times,airforcetimes.com,https://mediabiasfactcheck.com/air-force-times/,0,2
Airwars,airwars.org,https://mediabiasfactcheck.com/airwars/,0,2
Akkadian Times,akkadiantimes.com,https://mediabiasfactcheck.com/akkadian-times/,-20,2
Akron Beacon Journal,beaconjournal.com,https://mediabiasfactcheck.com/akron-beacon-journal/,-7,2
Al Arabiya,english.alarabiya.net,https://mediabiasfactcheck.com/al-arabiya/,14,0
Al Bawaba,albawaba.com,https://mediabiasfactcheck.com/al-bawaba/,12,0
Al DIA,aldianews.com,https://mediabiasfactcheck.com/al-dia/,-24,0
Al Jazeera,aljazeera.com,https://mediabiasfactcheck.com/al-jazeera/,-9,0
The Majalla,eng.majalla.com,https://mediabiasfactcheck.com/al-majalla/,10,0
Al Monitor,al-monitor.com,https://mediabiasfactcheck.com/al-monitor/,-9,2
Al-Hayat,alhayat.com,https://mediabiasfactcheck.com/al-hayat/,9,0
Al-Masdar News,almasdarnews.com,https://mediabiasfactcheck.com/al-masdar-news-amn/,17,0
Al-Sura,al-sura.com,https://mediabiasfactcheck.com/al-sura/,-9,0
Al.com (Alabama News),al.com,https://mediabiasfactcheck.com/al-com-alabama-news/,12,2
